Ticker,Quarter,매출액,영업이익,순이익,자산총액,부채총액,자본총액,영업활동,투자활동,재무활동
AAPL,24.09/28,"94,930","29,591","14,736","364,980","308,030","56,950","26,811","1,445","-24,948"
AAPL,24.06/29,"85,777","25,352","21,448","331,612","264,904","66,708","28,858",-127,"-36,017"
AAPL,24.03/30,"90,753","27,900","23,636","337,411","263,217","74,194","22,690",-310,"-30,433"
AAPL,23.12/30,"119,575","40,373","33,916","353,514","279,414","74,100","39,895","1,927","-30,585"
AAPL,23.09/30,"89,498","26,969","22,956","352,583","290,437","62,146","21,598","2,394","-23,153"
AAPL,23.07/01,"81,797","22,998","19,881","335,038","274,764","60,274","26,380",437,"-24,048"
AAPL,23.04/01,"94,836","28,318","24,160","332,160","270,002","62,158","28,560","2,319","-25,724"
AAPL,22.12/31,"117,154","36,016","29,998","346,747","290,020","56,727","34,005","-1,445","-35,563"
AAPL,22.09/24,"90,146","24,894","20,721","352,755","302,083","50,672","24,127","-1,217","-26,794"
AAPL,22.06/25,"82,959","23,076","19,442","336,309","278,202","58,107","22,892","4,234","-27,445"
AAPL,22.03/26,"97,278","29,979","25,010","350,662","283,263","67,399","28,166","-9,265","-28,351"
AAPL,21.12/25,"123,945","41,488","34,630","381,191","309,259","71,932","46,966","-16,106","-28,159"
AAPL,21.09/25,"83,360","23,786","20,551","351,002","287,912","63,090","20,200",835,"-20,382"
AAPL,21.06/26,"81,434","24,126","21,744","329,840","265,560","64,280","21,094","3,572","-29,396"
AAPL,21.03/27,"89,584","27,503","23,630","337,158","267,980","69,178","23,981","-10,368","-11,326"
AAPL,20.12/26,"111,439","33,534","28,755","354,054","287,830","66,224","38,763","-8,584","-32,249"
AAPL,20.09/26,"64,698","14,775","12,673","323,888","258,549","65,339","20,576","5,531","-21,357"
AAPL,20.06/27,"59,685","13,091","11,253","317,344","245,062","72,282","16,271","-5,165","-19,116"
AAPL,20.03/28,"58,313","12,853","11,249","320,400","241,975","78,425","13,311","9,013","-20,940"
AAPL,19.12/28,"91,819","25,569","22,236","340,618","251,087","89,531","30,516","-13,668","-25,407"
AAPL,19.09/28,"64,040","15,625","13,686","338,516","248,028","90,488","19,910",-798,"-21,039"
AAPL,19.06/29,"53,809","11,544","10,044","322,239","225,783","96,456","11,636","27,502","-26,804"
AAPL,19.03/30,"58,015","13,415","11,561","341,998","236,138","105,860","11,155","13,348","-29,457"
AAPL,18.12/29,"84,310","23,346","19,965","373,719","255,827","117,892","26,690","5,844","-13,676"
AAPL,18.09/29,"62,900","16,118","14,125","365,725","258,578","107,147","19,523","-3,001","-22,580"
NVDA,24.10/27,"35,082","21,869","19,309","96,013","30,114","65,899","17,627","-4,346","-12,745"
NVDA,24.07/28,"30,040","18,642","16,599","85,227","27,070","58,157","14,488","-3,184","-10,320"
NVDA,24.04/28,"26,044","16,909","14,881","77,072","27,930","49,142","15,345","-5,693","-9,345"
NVDA,24.01/28,"22,103","13,614","12,285","65,728","22,750","42,978","11,499","-6,109","-3,629"
NVDA,23.10/29,"18,120","10,417","9,243","54,148","20,883","33,265","7,332","-3,170","-4,525"
NVDA,23.07/30,"13,507","6,800","6,188","49,555","22,054","27,501","6,348",-446,"-5,099"
NVDA,23.04/30,"7,192","2,140","2,043","44,460","19,940","24,520","2,911",-841,-380
NVDA,23.01/29,"6,051","1,256","1,414","41,182","19,081","22,101","2,248",-3,"-1,656"
NVDA,22.10/30,"5,931",601,680,"40,488","19,139","21,349",392,"3,148","-3,753"
NVDA,22.07/31,"6,704",499,656,"43,476","19,625","23,851","1,270","1,618","-3,762"
NVDA,22.05/01,"8,288","1,868","1,618","45,212","18,892","26,320","1,731","2,612","-2,446"
NVDA,22.01/30,"7,643","2,970","3,003","44,187","17,575","26,612","3,033","-1,586",-745
NVDA,21.10/31,"7,103","2,671","2,464","40,632","16,834","23,798","1,519","-4,439","-1,420"
NVDA,21.08/01,"6,507","2,444","2,374","38,650","17,503","21,147","2,682","-2,533","4,501"
NVDA,21.05/02,"5,661","1,956","1,912","30,796","12,022","18,774","1,874","-1,272",-471
NVDA,21.01/31,"5,003","1,507","1,457","28,791","11,898","16,893","2,067","-3,129",-342
NVDA,20.10/25,"4,726","1,398","1,336","26,881","11,547","15,334","1,279","-2,001",-301
NVDA,20.07/26,"3,866",651,622,"25,180","11,266","13,914","1,567","-13,490",-297
NVDA,20.04/26,"3,080",976,917,"23,254","10,155","13,099",909,"-1,055","4,744"
NVDA,20.01/26,"3,105",990,951,"17,315","5,111","12,204","1,465",-151,-183
NVDA,19.10/27,"3,014",927,899,"15,810","4,596","11,214","1,640","1,256",-236
NVDA,19.07/28,"2,579",571,552,"14,775","4,439","10,336",936,"3,545",-148
NVDA,19.04/28,"2,220",358,394,"14,021","4,317","9,704",720,"1,495",-225
NVDA,19.01/27,"2,205",294,566,"13,292","3,950","9,342",898,40,-877
NVDA,18.10/28,"3,181","1,058","1,230","13,657","4,182","9,475",487,219,-703
MSFT,24.09/30,"65,585","30,552","24,667","523,013","235,290","287,723","34,180","-15,201","-16,576"
