,Ticker,Quarter,EPS,BPS,PER,PBR,ROE,ROA,ROIC,Debt_ratio,매출액,영업이익,순이익,자산총액,부채총액,자본총액,영업활동,투자활동,재무활동,금리,금리등락률,GDP,GDP등락률,유가,유가등락률,S&P500,close,volume,Market Cap,Sector,index
0,AAPL,24.Q3,6.08,3.71,36.95,60.81,137.90,27.0,44.40,540.90,"94,930","29,591","14,736","364,980","308,030","56,950","26,811","1,445","-24,948",5.25,-0.25,3.1,0.1,84.0,-1.26,562.01,225.9,930736000.0,"$3,846,826",Computer and Technology,0.0
1,AAPL,24.Q2,6.57,4.36,31.68,48.42,147.20,29.7,42.50,397.10,"85,777","25,352","21,448","331,612","264,904","66,708","28,858",-127,"-36,017",5.5,0.0,3.0,1.4,85.26,3.96,534.01,222.1,1153099800.0,"$3,846,826",Computer and Technology,0.0
2,AAPL,24.Q1,6.43,4.82,26.38,35.69,148.30,29.1,41.00,354.80,"90,753","27,900","23,636","337,411","263,217","74,194","22,690",-310,"-30,433",5.5,0.0,1.6,-1.6,81.3,-2.24,521.21,170.3,1245717000.0,"$3,846,826",Computer and Technology,0.0
3,AAPL,23.Q4,6.42,4.78,29.67,40.41,156.00,29.4,40.70,377.10,"119,575","40,373","33,916","353,514","279,414","74,100","39,895","1,927","-30,585",5.5,0.0,3.2,-1.2,83.54,-3.18,469.33,184.4,1187219300.0,"$3,846,826",Computer and Technology,0.0
4,AAPL,23.Q3,6.13,3.95,27.60,43.07,160.80,28.4,38.70,467.30,"89,498","26,969","22,956","352,583","290,437","62,146","21,598","2,394","-23,153",5.5,0.25,4.4,2.0,86.72,8.92,443.37,170.8,1172719600.0,"$3,846,826",Computer and Technology,0.0
5,AAPL,23.Q3,5.95,3.84,32.20,50.62,164.90,27.7,36.90,455.90,"81,797","22,998","19,881","335,038","274,764","60,274","26,380",437,"-24,048",5.25,2.5,2.4,-0.4,77.8,-2.55,493.28,170.8,1172719600.0,"$3,846,826",Computer and Technology,0.0
6,AAPL,23.Q2,5.89,3.94,27.66,41.97,165.70,27.6,37.10,434.40,"94,836","28,318","24,160","332,160","270,002","62,158","28,560","2,319","-25,724",2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91,196.4,996066400.0,"$3,846,826",Computer and Technology,0.0
7,AAPL,22.Q4,5.89,3.57,21.72,36.44,163.50,27.5,37.30,511.30,"117,154","36,016","29,998","346,747","290,020","56,727","34,005","-1,445","-35,563",4.5,2.0,3.4,0.7,84.88,-12.03,393.28,144.3,1443652500.0,"$3,846,826",Computer and Technology,0.0
8,AAPL,22.Q3,6.11,3.13,24.22,47.71,160.90,28.1,38.80,596.20,"90,146","24,894","20,721","352,755","302,083","50,672","24,127","-1,217","-26,794",2.5,0.75,2.7,2.4,96.91,-11.17,406.6,153.3,1868139700.0,"$3,846,826",Computer and Technology,0.0
9,AAPL,22.Q2,6.05,3.60,23.01,39.46,153.00,28.1,38.60,478.80,"82,959","23,076","19,442","336,309","278,202","58,107","22,892","4,234","-27,445",1.75,1.25,0.3,1.3,108.08,12.49,389.8,162.5,1447125400.0,"$3,846,826",Computer and Technology,0.0
