Ticker,Quarter,EPS,BPS,PER,PBR,ROE,ROA,ROIC,Debt_ratio
AAPL,24.09/28,6.08,3.71,36.95,60.81,137.90,27.00,44.40,540.90
AAPL,24.06/29,6.57,4.36,31.68,48.42,147.20,29.70,42.50,397.10
AAPL,24.03/30,6.43,4.82,26.38,35.69,148.30,29.10,41.00,354.80
AAPL,23.12/30,6.42,4.78,29.67,40.41,156.00,29.40,40.70,377.10
AAPL,23.09/30,6.13,3.95,27.60,43.07,160.80,28.40,38.70,467.30
AAPL,23.07/01,5.95,3.84,32.20,50.62,164.90,27.70,36.90,455.90
AAPL,23.04/01,5.89,3.94,27.66,41.97,165.70,27.60,37.10,434.40
AAPL,22.12/31,5.89,3.57,21.72,36.44,163.50,27.50,37.30,511.30
AAPL,22.09/24,6.11,3.13,24.22,47.71,160.90,28.10,38.80,596.20
AAPL,22.06/25,6.05,3.60,23.01,39.46,153.00,28.10,38.60,478.80
AAPL,22.03/26,6.15,4.14,27.97,42.31,152.90,28.90,38.70,420.30
AAPL,21.12/25,6.03,4.39,28.76,40.21,149.80,28.70,38.00,429.90
AAPL,21.09/25,5.61,3.78,25.65,38.49,144.10,27.60,36.20,456.40
AAPL,21.06/26,5.12,3.87,25.59,34.56,131.00,25.80,34.10,413.10
AAPL,21.03/27,4.47,4.13,26.67,29.42,111.80,22.90,30.60,387.40
AAPL,20.12/26,3.71,3.91,35.10,33.88,90.60,19.40,26.10,434.60
AAPL,20.09/26,3.28,3.77,33.45,29.39,75.20,17.60,23.40,395.70
AAPL,20.06/27,3.30,4.19,26.24,21.21,70.70,17.70,23.90,339.00
AAPL,20.03/28,3.19,4.50,18.95,13.82,64.50,17.30,23.80,308.50
AAPL,19.12/28,3.17,5.07,22.38,14.38,60.20,17.10,23.50,280.40
AAPL,19.09/28,2.97,4.90,17.90,10.93,53.80,16.10,22.30,274.10
AAPL,19.06/29,2.94,5.28,16.35,9.44,52.10,15.90,21.70,234.10
AAPL,19.03/30,2.98,5.66,15.67,8.46,51.30,16.00,21.20,223.10
AAPL,18.12/29,3.05,6.22,12.48,6.29,50.90,16.30,21.30,217.00
AAPL,18.09/29,2.98,5.41,18.32,10.18,48.70,16.00,21.50,241.30
NVDA,24.10/27,2.54,2.69,55.05,52.69,116.70,77.90,114.90,45.70
NVDA,24.07/28,2.13,2.37,52.47,47.82,115.50,75.10,109.40,46.50
NVDA,24.04/28,1.71,2.00,51.49,44.63,111.40,69.10,100.30,56.80
NVDA,24.01/28,1.19,1.74,50.65,35.08,92.80,55.70,78.30,52.90
NVDA,23.10/29,0.76,1.35,52.96,30.07,70.40,39.90,53.80,62.80
NVDA,23.07/30,0.42,1.11,111.84,41.99,43.30,23.50,30.30,80.20
NVDA,23.04/30,0.19,0.99,143.00,27.95,20.90,11.30,13.00,81.30
NVDA,23.01/29,0.17,0.89,114.69,22.67,18.70,10.30,11.70,86.30
NVDA,22.10/30,0.24,0.86,57.83,16.14,24.30,13.70,15.20,89.60
NVDA,22.07/31,0.31,0.96,58.66,19.04,30.80,17.80,19.80,82.30
NVDA,22.05/01,0.37,1.05,49.22,17.69,38.70,22.40,25.00,71.80
NVDA,22.01/30,0.39,1.07,58.60,21.47,43.20,25.30,28.10,66.00
NVDA,21.10/31,0.33,0.95,77.76,26.82,40.70,23.60,27.70,70.70
NVDA,21.08/01,0.28,0.85,68.64,22.98,39.20,22.60,27.90,82.80
NVDA,21.05/02,0.21,0.76,69.88,19.83,32.80,19.10,24.50,64.00
