Stock Name,Ticker,Market Cap,Exchange,Country,Sector,Industry
Apple,AAPL,"$3,846,826",NASDAQ,United States,Computer and Technology,Computer - Microcomputers
NVIDIA,NVDA,"$3,298,803",NASDAQ,United States,Computer and Technology,Semiconductor - General
Microsoft,MSFT,"$3,246,069",NASDAQ,United States,Computer and Technology,Computer Software
Amazon,AMZN,"$2,365,036",NASDAQ,United States,Retail/Wholesale,Internet Commerce
Alphabet,GOOGL,"$2,343,050",NASDAQ,United States,Computer and Technology,Internet Services
Meta Platforms,META,"$1,477,457",NASDAQ,United States,Computer and Technology,Internet Software
Tesla,TSLA,"$1,351,628",NASDAQ,United States,uto/Tires/TrAucks,Auto Manufacturers - Domestic
Broadcom,AVGO,"$1,031,217",NASDAQ,United States,Computer and Technology,Semiconductors
Berkshire Hathaway,BRK.B,"$977,286",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
Walmart,WMT,"$741,000",NYSE,United States,Retail/Wholesale,Retail - Supermarket Chains
Eli Lilly,LLY,"$728,847",NYSE,United States,Medical,Large Cap Pharmaceutical
JPMorgan Chase,JPM,"$668,925",NYSE,United States,Finance,Finance - Investment Banks
Visa,V,"$591,854",NYSE,United States,Business Services,Financial Transaction Services
Mastercard,MA,"$484,642",NYSE,United States,Business Services,Financial Transaction Services
Oracle,ORCL,"$474,532",NYSE,United States,Computer and Technology,Computer Software
Exxon,XOM,"$465,309",NYSE,United States,Oils/Energy,Oil & Gas - International Integrated
UnitedHealth Group,UNH,"$460,262",NYSE,United States,Medical,Medical - Health Maintenance Organizations
Costco,COST,"$423,511",NASDAQ,United States,Retail/Wholesale,Retail - Discount & Variety
Procter & Gamble,PG,"$395,788",NYSE,United States,Consumer Staples,Consumer Products - Misc. Discretionary
Home Depot,HD,"$389,994",NYSE,United States,Retail/Wholesale,Retail - Home Furnishings
Netflix,NFLX,"$388,581",NASDAQ,United States,Consumer Discretionary,Broadcasting - Radio & TV
Johnson & Johnson,JNJ,"$347,829",NYSE,United States,Medical,Large Cap Pharmaceutical
Bank Of America,BAC,"$338,911",NYSE,United States,Finance,Finance - Investment Banks
Salesforce,CRM,"$328,873",NYSE,United States,Computer and Technology,Computer Software
AbbVie,ABBV,"$310,275",NYSE,United States,Medical,Large Cap Pharmaceutical
CocaCola,KO,"$269,453",NYSE,United States,Consumer Staples,Beverages - Soft Drinks
Chevron,CVX,"$256,715",NYSE,United States,Oils/Energy,Oil & Gas - International Integrated
T-Mobile US,TMUS,"$255,667",NASDAQ,United States,Computer and Technology,Wireless - National Providers
