,Quarter,close,volume,ticker
0,24.Q3,225.9,930736000,AAPL
1,24.Q2,222.1,1153099800,AAPL
2,24.Q1,170.3,1245717000,AAPL
3,23.Q4,184.4,1187219300,AAPL
4,23.Q3,170.8,1172719600,AAPL
5,23.Q2,196.4,996066400,AAPL
6,23.Q1,169.7,969709700,AAPL
7,22.Q4,144.3,1443652500,AAPL
8,22.Q3,153.3,1868139700,AAPL
9,22.Q2,162.5,1447125400,AAPL
10,22.Q1,157.6,1687795600,AAPL
11,21.Q4,174.8,2108446000,AAPL
12,21.Q3,149.8,1565079200,AAPL
13,21.Q2,145.9,1919035100,AAPL
14,21.Q1,131.5,1889857500,AAPL
15,20.Q4,132.0,2240262000,AAPL
16,20.Q3,108.9,2894666500,AAPL
17,20.Q2,106.3,3020283200,AAPL
18,20.Q1,73.4,3265299200,AAPL
19,19.Q4,77.4,2934370400,AAPL
20,19.Q3,62.2,2433210800,AAPL
21,19.Q2,53.3,1895406800,AAPL
22,19.Q1,50.2,2024470800,AAPL
23,18.Q4,41.6,3312349600,AAPL
24,18.Q3,54.7,3158994000,AAPL
25,24.Q3,132.8,5627917200,NVDA
26,24.Q2,117.0,6405438600,NVDA
27,24.Q1,86.4,10074181000,NVDA
28,23.Q4,61.5,9706237000,NVDA
29,23.Q3,40.8,10141101000,NVDA
30,23.Q2,46.7,8706845000,NVDA
31,23.Q1,27.7,7436450000,NVDA
32,22.Q4,19.5,9454960000,NVDA
33,22.Q3,13.5,12549277000,NVDA
34,22.Q2,18.2,10564476000,NVDA
35,22.Q1,18.5,11114390000,NVDA
36,21.Q4,24.5,10682164000,NVDA
37,21.Q3,25.6,4971078000,NVDA
38,21.Q2,19.5,7823077000,NVDA
39,21.Q1,15.0,6718796000,NVDA
40,20.Q4,13.0,6154172000,NVDA
41,20.Q3,12.5,8022356000,NVDA
42,20.Q2,10.6,8094452000,NVDA
43,20.Q1,7.3,11278304000,NVDA
44,19.Q4,5.9,6125412000,NVDA
45,19.Q3,5.0,7696172000,NVDA
46,19.Q2,4.2,8415984000,NVDA
47,19.Q1,4.5,9437780000,NVDA
48,18.Q4,3.6,16870992000,NVDA
49,18.Q3,5.3,12977976000,NVDA
50,24.Q3,406.4,440745500,MSFT
51,24.Q2,418.4,440449200,MSFT
52,24.Q1,389.3,440777700,MSFT
53,23.Q4,397.6,528399000,MSFT
54,23.Q3,338.1,540907000,MSFT
55,23.Q2,335.9,666764400,MSFT
56,23.Q1,307.3,551497100,MSFT
57,22.Q4,247.8,666168100,MSFT
58,22.Q3,232.1,671225100,MSFT
59,22.Q2,280.7,534891800,MSFT
60,22.Q1,277.5,627343400,MSFT
61,21.Q4,311.0,947531400,MSFT
62,21.Q3,331.6,516515800,MSFT
63,21.Q2,284.9,522672700,MSFT
64,21.Q1,252.2,568661600,MSFT
65,20.Q4,232.0,648076400,MSFT
66,20.Q3,202.5,631618000,MSFT
67,20.Q2,205.0,770190800,MSFT
68,20.Q1,179.2,984705000,MSFT
69,19.Q4,170.2,558530000,MSFT
70,19.Q3,143.4,549523400,MSFT
71,19.Q2,136.3,484079900,MSFT
72,19.Q1,130.6,433157700,MSFT
73,18.Q4,104.4,714212800,MSFT
74,18.Q3,106.8,927548000,MSFT
75,24.Q3,186.4,733878800,AMZN
76,24.Q2,187.0,868061100,AMZN
77,24.Q1,175.0,917021100,AMZN
78,23.Q4,155.2,953344900,AMZN
79,23.Q3,133.1,1224564700,AMZN
80,23.Q2,133.7,1058754800,AMZN
81,23.Q1,105.4,1224083600,AMZN
82,22.Q4,103.1,1523798600,AMZN
83,22.Q3,102.4,1459311500,AMZN
84,22.Q2,134.9,1337852600,AMZN
85,22.Q1,124.3,1465008000,AMZN
86,21.Q4,149.6,1524654000,AMZN
87,21.Q3,168.6,1273466000,AMZN
88,21.Q2,166.4,1674586000,AMZN
89,21.Q1,173.4,1536792000,AMZN
90,20.Q4,160.3,1430578000,AMZN
91,20.Q3,151.8,2324522000,AMZN
92,20.Q2,158.2,2550040000,AMZN
93,20.Q1,123.7,2492196000,AMZN
94,19.Q4,100.4,1693966000,AMZN
95,19.Q3,88.8,1407210000,AMZN
96,19.Q2,93.3,1462976000,AMZN
97,19.Q1,96.3,1624784000,AMZN
98,18.Q4,85.9,2680034000,AMZN
99,18.Q3,79.9,3664416000,AMZN
100,24.Q3,171.1,569309100,GOOGL
101,24.Q2,171.5,526128300,GOOGL
102,24.Q1,162.8,659471000,GOOGL
103,23.Q4,140.1,580875000,GOOGL
104,23.Q3,124.1,680712800,GOOGL
105,23.Q2,132.7,708341500,GOOGL
106,23.Q1,107.3,604106300,GOOGL
107,22.Q4,98.8,672897800,GOOGL
108,22.Q3,94.5,681488300,GOOGL
109,22.Q2,116.3,789529700,GOOGL
110,22.Q1,114.1,761152000,GOOGL
111,21.Q4,135.3,767206000,GOOGL
112,21.Q3,148.0,720758000,GOOGL
113,21.Q2,134.7,610808000,GOOGL
114,21.Q1,117.7,702352000,GOOGL
115,20.Q4,91.4,791662000,GOOGL
116,20.Q3,80.8,854920000,GOOGL
117,20.Q2,74.4,822998000,GOOGL
118,20.Q1,67.3,1124224000,GOOGL
119,19.Q4,71.6,673594000,GOOGL
120,19.Q3,62.9,603634000,GOOGL
121,19.Q2,60.9,715104000,GOOGL
122,19.Q1,59.9,647446000,GOOGL
123,18.Q4,56.3,697168000,GOOGL
124,18.Q3,54.5,1130942000,GOOGL
125,24.Q3,567.6,265878300,META
126,24.Q2,474.8,324005400,META
127,24.Q1,430.2,437131800,META
128,23.Q4,390.1,347020200,META
129,23.Q3,301.3,511307900,META
130,23.Q2,318.6,624605100,META
131,23.Q1,240.3,446687900,META
132,22.Q4,149.0,548770600,META
133,22.Q3,93.2,1107662200,META
134,22.Q2,159.1,586482400,META
135,22.Q1,200.5,672255000,META
136,21.Q4,313.3,427237300,META
137,21.Q3,323.6,588382500,META
138,21.Q2,356.3,335420300,META
139,21.Q1,325.1,421257700,META
140,20.Q4,258.3,452633100,META
141,20.Q3,263.1,454101600,META
142,20.Q2,253.7,517599700,META
143,20.Q1,204.7,541334600,META
144,19.Q4,201.9,347314600,META
145,19.Q3,191.6,326207200,META
146,19.Q2,194.2,351020900,META
147,19.Q1,193.4,381985300,META
148,18.Q4,166.7,527547900,META
149,18.Q3,151.8,622446300,META
150,24.Q3,249.9,1910807800,TSLA
151,24.Q2,232.1,2946114300,TSLA
152,24.Q1,183.3,2478540800,TSLA
153,23.Q4,187.3,2343784600,TSLA
154,23.Q3,200.8,2590570100,TSLA
155,23.Q2,267.4,2392089000,TSLA
156,23.Q1,164.3,2505176300,TSLA
157,22.Q4,173.2,3897499400,TSLA
158,22.Q3,227.5,1735263100,TSLA
159,22.Q2,297.1,1744884000,TSLA
160,22.Q1,290.3,1520959800,TSLA
161,21.Q4,312.2,1916006400,TSLA
162,21.Q3,371.3,1586803800,TSLA
163,21.Q2,229.1,1345349400,TSLA
164,21.Q1,236.5,2035619100,TSLA
165,20.Q4,264.5,2117084400,TSLA
166,20.Q3,129.3,2500999200,TSLA
167,20.Q2,95.4,5679502500,TSLA
168,20.Q1,52.1,5722162500,TSLA
169,19.Q4,43.4,6108277500,TSLA
170,19.Q3,21.0,3419739000,TSLA
171,19.Q2,16.1,2990050500,TSLA
172,19.Q1,15.9,3461209500,TSLA
173,18.Q4,20.5,2634781500,TSLA
174,18.Q3,22.5,4295410500,TSLA
175,24.Q3,169.8,440173000,AVGO
176,24.Q2,160.7,747793200,AVGO
177,24.Q1,130.0,524184000,AVGO
178,23.Q4,118.0,582842000,AVGO
179,23.Q3,84.1,462210000,AVGO
180,23.Q2,89.9,489146000,AVGO
181,23.Q1,62.7,313005000,AVGO
182,22.Q4,58.5,445594000,AVGO
183,22.Q3,47.0,481500000,AVGO
184,22.Q2,53.5,394534000,AVGO
185,22.Q1,55.4,425646000,AVGO
186,21.Q4,58.6,627019000,AVGO
187,21.Q3,53.2,341653000,AVGO
188,21.Q2,48.5,323364000,AVGO
189,21.Q1,45.6,405583000,AVGO
190,20.Q4,45.0,321317000,AVGO
191,20.Q3,35.0,337378000,AVGO
192,20.Q2,31.7,379233000,AVGO
193,20.Q1,27.2,619989000,AVGO
194,19.Q4,30.5,585943000,AVGO
195,19.Q3,29.3,421659000,AVGO
196,19.Q2,29.0,520257000,AVGO
197,19.Q1,31.8,407661000,AVGO
198,18.Q4,26.8,749381000,AVGO
199,18.Q3,22.3,740940000,AVGO
200,24.Q3,450.9,74179800,BRK-B
201,24.Q2,438.5,79757100,BRK-B
202,24.Q1,396.7,63839500,BRK-B
203,23.Q4,383.7,73388600,BRK-B
204,23.Q3,341.3,64919600,BRK-B
205,23.Q2,352.0,55699500,BRK-B
206,23.Q1,328.5,55089500,BRK-B
207,22.Q4,311.5,66930800,BRK-B
208,22.Q3,295.1,84939300,BRK-B
209,22.Q2,300.6,73383000,BRK-B
210,22.Q1,322.8,81868100,BRK-B
211,21.Q4,313.0,109425900,BRK-B
212,21.Q3,287.0,74941700,BRK-B
213,21.Q2,278.3,80595300,BRK-B
214,21.Q1,275.0,84991800,BRK-B
215,20.Q4,227.9,103322000,BRK-B
216,20.Q3,201.9,91607500,BRK-B
217,20.Q2,195.8,125965100,BRK-B
218,20.Q1,187.4,151275200,BRK-B
219,19.Q4,224.4,79813500,BRK-B
220,19.Q3,212.6,78088100,BRK-B
221,19.Q2,205.4,69209000,BRK-B
222,19.Q1,216.7,64254100,BRK-B
223,18.Q4,205.5,99687600,BRK-B
224,18.Q3,205.3,111553000,BRK-B
225,24.Q3,81.9,274951500,WMT
226,24.Q2,68.6,288053200,WMT
227,24.Q1,59.3,304720900,WMT
228,23.Q4,55.1,385322100,WMT
229,23.Q3,54.5,344001900,WMT
230,23.Q2,53.3,272185500,WMT
231,23.Q1,50.3,301894800,WMT
232,22.Q4,48.0,324054600,WMT
233,22.Q3,47.4,350685000,WMT
234,22.Q2,44.0,472936800,WMT
235,22.Q1,51.0,427213500,WMT
236,21.Q4,46.6,497216100,WMT
237,21.Q3,49.8,413998800,WMT
238,21.Q2,47.5,395649300,WMT
239,21.Q1,46.6,459365700,WMT
240,20.Q4,46.8,450488700,WMT
241,20.Q3,46.2,386985000,WMT
242,20.Q2,43.1,592356300,WMT
243,20.Q1,40.5,621479400,WMT
244,19.Q4,38.2,383722500,WMT
245,19.Q3,39.1,289222800,WMT
246,19.Q2,36.8,273860700,WMT
247,19.Q1,34.3,331820700,WMT
248,18.Q4,31.9,482219100,WMT
249,18.Q3,33.4,649263000,WMT
250,24.Q3,829.7,68789500,LLY
251,24.Q2,804.3,72471200,LLY
252,24.Q1,781.1,57412200,LLY
253,23.Q4,645.6,61977700,LLY
254,23.Q3,553.9,71880000,LLY
255,23.Q2,454.5,46830100,LLY
256,23.Q1,395.9,56102100,LLY
