,Ticker,Quarter,EPS,BPS,PER,PBR,ROE,ROA,ROIC,Debt_ratio,매출액,영업이익,순이익,자산총액,부채총액,자본총액,영업활동,투자활동,재무활동,금리,금리등락률,GDP,GDP등락률,유가,유가등락률,S&P500,close,volume,Market Cap,Sector,index,Sector_idx
0,AAPL,24.Q3,6.08,3.71,36.95,60.81,137.9,27.0,44.4,540.9,94930.0,29591.0,14736.0,364980.0,308030.0,56950.0,26811.0,1445.0,-24948.0,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01,225.9,930736000.0,3846826.0,Computer and Technology,0.0,4
1,AAPL,24.Q2,6.57,4.36,31.68,48.42,147.2,29.7,42.5,397.1,85777.0,25352.0,21448.0,331612.0,264904.0,66708.0,28858.0,-127.0,-36017.0,5.5,0.0,3.0,1.4,85.26,3.96,534.01,222.1,1153099800.0,3846826.0,Computer and Technology,0.0,4
2,AAPL,24.Q1,6.43,4.82,26.38,35.69,148.3,29.1,41.0,354.8,90753.0,27900.0,23636.0,337411.0,263217.0,74194.0,22690.0,-310.0,-30433.0,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21,170.3,1245717000.0,3846826.0,Computer and Technology,0.0,4
3,AAPL,23.Q4,6.42,4.78,29.67,40.41,156.0,29.4,40.7,377.1,119575.0,40373.0,33916.0,353514.0,279414.0,74100.0,39895.0,1927.0,-30585.0,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33,184.4,1187219300.0,3846826.0,Computer and Technology,0.0,4
4,AAPL,23.Q3,6.13,3.95,27.6,43.07,160.8,28.4,38.7,467.3,89498.0,26969.0,22956.0,352583.0,290437.0,62146.0,21598.0,2394.0,-23153.0,5.5,0.25,4.4,2.0,86.72,8.92,443.37,170.8,1172719600.0,3846826.0,Computer and Technology,0.0,4
5,AAPL,23.Q3,5.95,3.84,32.2,50.62,164.9,27.7,36.9,455.9,81797.0,22998.0,19881.0,335038.0,274764.0,60274.0,26380.0,437.0,-24048.0,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28,170.8,1172719600.0,3846826.0,Computer and Technology,0.0,4
6,AAPL,23.Q2,5.89,3.94,27.66,41.97,165.7,27.6,37.1,434.4,94836.0,28318.0,24160.0,332160.0,270002.0,62158.0,28560.0,2319.0,-25724.0,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91,196.4,996066400.0,3846826.0,Computer and Technology,0.0,4
7,AAPL,22.Q4,5.89,3.57,21.72,36.44,163.5,27.5,37.3,511.3,117154.0,36016.0,29998.0,346747.0,290020.0,56727.0,34005.0,-1445.0,-35563.0,4.5,2.0,3.4,0.7,84.88,-12.03,393.28,144.3,1443652500.0,3846826.0,Computer and Technology,0.0,4
8,AAPL,22.Q3,6.11,3.13,24.22,47.71,160.9,28.1,38.8,596.2,90146.0,24894.0,20721.0,352755.0,302083.0,50672.0,24127.0,-1217.0,-26794.0,2.5,0.75,2.7,2.4,96.91,-11.17,406.6,153.3,1868139700.0,3846826.0,Computer and Technology,0.0,4
9,AAPL,22.Q2,6.05,3.6,23.01,39.46,153.0,28.1,38.6,478.8,82959.0,23076.0,19442.0,336309.0,278202.0,58107.0,22892.0,4234.0,-27445.0,1.75,1.25,0.3,1.3,108.08,12.49,389.8,162.5,1447125400.0,3846826.0,Computer and Technology,0.0,4
10,AAPL,22.Q1,6.15,4.14,27.97,42.31,152.9,28.9,38.7,420.3,97278.0,29979.0,25010.0,350662.0,283263.0,67399.0,28166.0,-9265.0,-28351.0,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09,157.6,1687795600.0,3846826.0,Computer and Technology,0.0,4
11,AAPL,21.Q4,6.03,4.39,28.76,40.21,149.8,28.7,38.0,429.9,123945.0,41488.0,34630.0,381191.0,309259.0,71932.0,46966.0,-16106.0,-28159.0,0.25,0.0,7.4,3.9,80.0,10.0,453.42,174.8,2108446000.0,3846826.0,Computer and Technology,0.0,4
12,AAPL,21.Q3,5.61,3.78,25.65,38.49,144.1,27.6,36.2,456.4,83360.0,23786.0,20551.0,351002.0,287912.0,63090.0,20200.0,835.0,-20382.0,0.25,0.0,3.5,-2.9,70.0,4.0,453.08,149.8,1565079200.0,3846826.0,Computer and Technology,0.0,4
13,AAPL,21.Q2,5.12,3.87,25.59,34.56,131.0,25.8,34.1,413.1,81434.0,24126.0,21744.0,329840.0,265560.0,64280.0,21094.0,3572.0,-29396.0,0.25,0.0,6.4,0.8,66.0,6.0,422.6,145.9,1919035100.0,3846826.0,Computer and Technology,0.0,4
14,AAPL,21.Q1,4.47,4.13,26.67,29.42,111.8,22.9,30.6,387.4,89584.0,27503.0,23630.0,337158.0,267980.0,69178.0,23981.0,-10368.0,-11326.0,0.25,0.0,5.6,1.2,60.0,14.5,383.63,131.5,1889857500.0,3846826.0,Computer and Technology,0.0,4
15,AAPL,20.Q4,3.71,3.91,35.1,33.88,90.6,19.4,26.1,434.6,111439.0,33534.0,28755.0,354054.0,287830.0,66224.0,38763.0,-8584.0,-32249.0,0.25,0.0,4.4,-30.8,45.5,2.6,369.85,132.0,2240262000.0,3846826.0,Computer and Technology,0.0,4
16,AAPL,20.Q3,3.28,3.77,33.45,29.39,75.2,17.6,23.4,395.7,64698.0,14775.0,12673.0,323888.0,258549.0,65339.0,20576.0,5531.0,-21357.0,0.25,0.0,35.2,63.9,42.9,12.4,342.57,108.9,2894666500.0,3846826.0,Computer and Technology,0.0,4
17,AAPL,20.Q2,3.3,4.19,26.24,21.21,70.7,17.7,23.9,339.0,59685.0,13091.0,11253.0,317344.0,245062.0,72282.0,16271.0,-5165.0,-19116.0,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34,106.3,3020283200.0,3846826.0,Computer and Technology,0.0,4
18,AAPL,20.Q1,3.19,4.5,18.95,13.82,64.5,17.3,23.8,308.5,58313.0,12853.0,11249.0,320400.0,241975.0,78425.0,13311.0,9013.0,-20940.0,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46,73.4,3265299200.0,3846826.0,Computer and Technology,0.0,4
19,AAPL,19.Q4,3.17,5.07,22.38,14.38,60.2,17.1,23.5,280.4,91819.0,25569.0,22236.0,340618.0,251087.0,89531.0,30516.0,-13668.0,-25407.0,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41,77.4,2934370400.0,3846826.0,Computer and Technology,0.0,4
20,AAPL,19.Q3,2.97,4.9,17.9,10.93,53.8,16.1,22.3,274.1,64040.0,15625.0,13686.0,338516.0,248028.0,90488.0,19910.0,-798.0,-21039.0,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12,62.2,2433210800.0,3846826.0,Computer and Technology,0.0,4
21,AAPL,19.Q2,2.94,5.28,16.35,9.44,52.1,15.9,21.7,234.1,53809.0,11544.0,10044.0,322239.0,225783.0,96456.0,11636.0,27502.0,-26804.0,2.5,0.0,2.4,-0.1,66.7,3.6,293.0,53.3,1895406800.0,3846826.0,Computer and Technology,0.0,4
22,AAPL,19.Q1,2.98,5.66,15.67,8.46,51.3,16.0,21.2,223.1,58015.0,13415.0,11561.0,341998.0,236138.0,105860.0,11155.0,13348.0,-29457.0,2.5,0.0,2.5,1.9,63.1,-1.93,282.48,50.2,2024470800.0,3846826.0,Computer and Technology,0.0,4
23,AAPL,18.Q4,3.05,6.22,12.48,6.29,50.9,16.3,21.3,217.0,84310.0,23346.0,19965.0,373719.0,255827.0,117892.0,26690.0,5844.0,-13676.0,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92,41.6,3312349600.0,3846826.0,Computer and Technology,0.0,4
24,AAPL,18.Q3,2.98,5.41,18.32,10.18,48.7,16.0,21.5,241.3,62900.0,16118.0,14125.0,365725.0,258578.0,107147.0,19523.0,-3001.0,-22580.0,2.25,0.0,2.5,0.0,73.76,0.0,290.72,54.7,3158994000.0,3846826.0,Computer and Technology,0.0,4
25,NVDA,24.Q4,2.54,2.69,55.05,52.69,116.7,77.9,114.9,45.7,35082.0,21869.0,19309.0,96013.0,30114.0,65899.0,17627.0,-4346.0,-12745.0,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01,,,3298803.0,Computer and Technology,1.0,4
26,NVDA,24.Q3,2.13,2.37,52.47,47.82,115.5,75.1,109.4,46.5,30040.0,18642.0,16599.0,85227.0,27070.0,58157.0,14488.0,-3184.0,-10320.0,5.5,0.0,3.0,1.4,85.26,3.96,534.01,132.8,5627917200.0,3298803.0,Computer and Technology,1.0,4
27,NVDA,24.Q2,1.71,2.0,51.49,44.63,111.4,69.1,100.3,56.8,26044.0,16909.0,14881.0,77072.0,27930.0,49142.0,15345.0,-5693.0,-9345.0,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21,117.0,6405438600.0,3298803.0,Computer and Technology,1.0,4
28,NVDA,24.Q1,1.19,1.74,50.65,35.08,92.8,55.7,78.3,52.9,22103.0,13614.0,12285.0,65728.0,22750.0,42978.0,11499.0,-6109.0,-3629.0,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33,86.4,10074181000.0,3298803.0,Computer and Technology,1.0,4
29,NVDA,23.Q4,0.76,1.35,52.96,30.07,70.4,39.9,53.8,62.8,18120.0,10417.0,9243.0,54148.0,20883.0,33265.0,7332.0,-3170.0,-4525.0,5.5,0.25,4.4,2.0,86.72,8.92,443.37,61.5,9706237000.0,3298803.0,Computer and Technology,1.0,4
30,NVDA,23.Q3,0.42,1.11,111.84,41.99,43.3,23.5,30.3,80.2,13507.0,6800.0,6188.0,49555.0,22054.0,27501.0,6348.0,-446.0,-5099.0,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28,40.8,10141101000.0,3298803.0,Computer and Technology,1.0,4
31,NVDA,23.Q2,0.19,0.99,143.0,27.95,20.9,11.3,13.0,81.3,7192.0,2140.0,2043.0,44460.0,19940.0,24520.0,2911.0,-841.0,-380.0,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91,46.7,8706845000.0,3298803.0,Computer and Technology,1.0,4
32,NVDA,23.Q1,0.17,0.89,114.69,22.67,18.7,10.3,11.7,86.3,6051.0,1256.0,1414.0,41182.0,19081.0,22101.0,2248.0,-3.0,-1656.0,4.5,2.0,3.4,0.7,84.88,-12.03,393.28,27.7,7436450000.0,3298803.0,Computer and Technology,1.0,4
33,NVDA,22.Q4,0.24,0.86,57.83,16.14,24.3,13.7,15.2,89.6,5931.0,601.0,680.0,40488.0,19139.0,21349.0,392.0,3148.0,-3753.0,2.5,0.75,2.7,2.4,96.91,-11.17,406.6,19.5,9454960000.0,3298803.0,Computer and Technology,1.0,4
34,NVDA,22.Q3,0.31,0.96,58.66,19.04,30.8,17.8,19.8,82.3,6704.0,499.0,656.0,43476.0,19625.0,23851.0,1270.0,1618.0,-3762.0,1.75,1.25,0.3,1.3,108.08,12.49,389.8,13.5,12549277000.0,3298803.0,Computer and Technology,1.0,4
35,NVDA,22.Q2,0.37,1.05,49.22,17.69,38.7,22.4,25.0,71.8,8288.0,1868.0,1618.0,45212.0,18892.0,26320.0,1731.0,2612.0,-2446.0,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09,18.2,10564476000.0,3298803.0,Computer and Technology,1.0,4
36,NVDA,22.Q1,0.39,1.07,58.6,21.47,43.2,25.3,28.1,66.0,7643.0,2970.0,3003.0,44187.0,17575.0,26612.0,3033.0,-1586.0,-745.0,0.25,0.0,7.4,3.9,80.0,10.0,453.42,18.5,11114390000.0,3298803.0,Computer and Technology,1.0,4
37,NVDA,21.Q4,0.33,0.95,77.76,26.82,40.7,23.6,27.7,70.7,7103.0,2671.0,2464.0,40632.0,16834.0,23798.0,1519.0,-4439.0,-1420.0,0.25,0.0,3.5,-2.9,70.0,4.0,453.08,24.5,10682164000.0,3298803.0,Computer and Technology,1.0,4
38,NVDA,21.Q3,0.28,0.85,68.64,22.98,39.2,22.6,27.9,82.8,6507.0,2444.0,2374.0,38650.0,17503.0,21147.0,2682.0,-2533.0,4501.0,0.25,0.0,6.4,0.8,66.0,6.0,422.6,25.6,4971078000.0,3298803.0,Computer and Technology,1.0,4
39,NVDA,21.Q2,0.21,0.76,69.88,19.83,32.8,19.1,24.5,64.0,5661.0,1956.0,1912.0,30796.0,12022.0,18774.0,1874.0,-1272.0,-471.0,0.25,0.0,5.6,1.2,60.0,14.5,383.63,19.5,7823077000.0,3298803.0,Computer and Technology,1.0,4
40,NVDA,21.Q1,0.17,0.69,74.24,19.04,29.3,16.6,23.3,70.4,5003.0,1507.0,1457.0,28791.0,11898.0,16893.0,2067.0,-3129.0,-342.0,0.25,0.0,4.4,-30.8,45.5,2.6,369.85,15.0,6718796000.0,3298803.0,Computer and Technology,1.0,4
41,NVDA,20.Q4,0.15,0.62,87.67,21.87,28.1,16.5,27.0,75.3,4726.0,1398.0,1336.0,26881.0,11547.0,15334.0,1279.0,-2001.0,-301.0,0.25,0.0,35.2,63.9,42.9,12.4,342.57,13.0,6154172000.0,3298803.0,Computer and Technology,1.0,4
42,NVDA,20.Q3,0.14,0.57,74.0,18.02,26.9,16.6,32.2,81.0,3866.0,651.0,622.0,25180.0,11266.0,13914.0,1567.0,-13490.0,-297.0,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34,12.5,8022356000.0,3298803.0,Computer and Technology,1.0,4
43,NVDA,20.Q2,0.13,0.53,53.4,13.53,28.3,18.7,43.1,77.5,3080.0,976.0,917.0,23254.0,10155.0,13099.0,909.0,-1055.0,4744.0,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46,10.6,8094452000.0,3298803.0,Computer and Technology,1.0,4
44,NVDA,20.Q1,0.11,0.5,54.83,12.56,25.7,18.1,36.7,41.9,3105.0,990.0,951.0,17315.0,5111.0,12204.0,1465.0,-151.0,-183.0,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41,7.3,11278304000.0,3298803.0,Computer and Technology,1.0,4
45,NVDA,19.Q4,0.1,0.46,51.67,11.11,23.8,16.7,24.0,41.0,3014.0,927.0,899.0,15810.0,4596.0,11214.0,1640.0,1256.0,-236.0,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12,5.9,6125412000.0,3298803.0,Computer and Technology,1.0,4
46,NVDA,19.Q3,0.11,0.42,38.88,10.32,28.2,19.7,21.7,42.9,2579.0,571.0,552.0,14775.0,4439.0,10336.0,936.0,3545.0,-148.0,2.5,0.0,2.4,-0.1,66.7,3.6,293.0,5.0,7696172000.0,3298803.0,Computer and Technology,1.0,4
47,NVDA,19.Q2,0.13,0.4,32.79,11.12,35.3,24.4,24.7,44.5,2220.0,358.0,394.0,14021.0,4317.0,9704.0,720.0,1495.0,-225.0,2.5,0.0,2.5,1.9,63.1,-1.93,282.48,4.2,8415984000.0,3298803.0,Computer and Technology,1.0,4
48,NVDA,19.Q1,0.17,0.38,23.59,10.46,46.9,32.3,32.9,42.3,2205.0,294.0,566.0,13292.0,3950.0,9342.0,898.0,40.0,-877.0,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92,4.5,9437780000.0,3298803.0,Computer and Technology,1.0,4
49,NVDA,18.Q4,0.19,0.39,25.68,12.72,56.1,38.1,43.8,44.1,3181.0,1058.0,1230.0,13657.0,4182.0,9475.0,487.0,219.0,-703.0,2.25,0.0,2.5,0.0,73.76,0.0,290.72,3.6,16870992000.0,3298803.0,Computer and Technology,1.0,4
50,MSFT,24.Q3,12.12,38.71,35.34,11.12,34.6,18.2,50.4,81.8,65585.0,30552.0,24667.0,523013.0,235290.0,287723.0,34180.0,-15201.0,-16576.0,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01,406.4,440745500.0,3246069.0,Computer and Technology,2.0,4
51,MSFT,24.Q2,11.8,36.13,37.69,12.37,36.0,18.4,52.6,90.8,64727.0,27925.0,22036.0,512163.0,243686.0,268477.0,37195.0,-14848.0,-23563.0,5.5,0.0,3.0,1.4,85.26,3.96,534.01,418.4,440449200.0,3246069.0,Computer and Technology,2.0,4
52,MSFT,24.Q1,11.55,34.07,36.27,12.35,37.5,19.0,54.6,91.3,61858.0,27581.0,21939.0,484275.0,231123.0,253152.0,31917.0,-10700.0,-18808.0,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21,389.3,440777700.0,3246069.0,Computer and Technology,2.0,4
53,MSFT,23.Q4,11.06,32.06,33.86,11.73,38.4,19.3,55.6,97.5,62020.0,27032.0,21870.0,470558.0,232290.0,238268.0,18853.0,-71925.0,-10147.0,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33,397.6,528399000.0,3246069.0,Computer and Technology,2.0,4
