,금리,금리등락률,GDP,GDP등락률,유가,유가등락률,S&P500
0,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
1,5.5,0.0,3.0,1.4,85.26,3.96,534.01
2,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
3,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
4,5.5,0.25,4.4,2.0,86.72,8.92,443.37
5,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
6,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
7,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
8,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
9,1.75,1.25,0.3,1.3,108.08,12.49,389.8
10,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
11,0.25,0.0,7.4,3.9,80.0,10.0,453.42
12,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
13,0.25,0.0,6.4,0.8,66.0,6.0,422.6
14,0.25,0.0,5.6,1.2,60.0,14.5,383.63
15,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
16,0.25,0.0,35.2,63.9,42.9,12.4,342.57
17,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
18,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
19,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
20,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
21,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
22,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
23,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
24,2.25,0.0,2.5,0.0,73.76,0.0,290.72
25,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
26,5.5,0.0,3.0,1.4,85.26,3.96,534.01
27,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
28,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
29,5.5,0.25,4.4,2.0,86.72,8.92,443.37
30,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
31,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
32,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
33,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
34,1.75,1.25,0.3,1.3,108.08,12.49,389.8
35,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
36,0.25,0.0,7.4,3.9,80.0,10.0,453.42
37,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
38,0.25,0.0,6.4,0.8,66.0,6.0,422.6
39,0.25,0.0,5.6,1.2,60.0,14.5,383.63
40,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
41,0.25,0.0,35.2,63.9,42.9,12.4,342.57
42,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
43,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
44,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
45,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
46,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
47,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
48,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
49,2.25,0.0,2.5,0.0,73.76,0.0,290.72
50,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
51,5.5,0.0,3.0,1.4,85.26,3.96,534.01
52,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
53,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
54,5.5,0.25,4.4,2.0,86.72,8.92,443.37
55,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
56,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
57,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
58,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
59,1.75,1.25,0.3,1.3,108.08,12.49,389.8
60,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
61,0.25,0.0,7.4,3.9,80.0,10.0,453.42
62,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
